ASN: 30081 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 200741, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7459  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 61440 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 59455 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 19607 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 57809 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62575 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 133752, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32440 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 200983, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3557  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 17025 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 21769 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3064  , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 60144 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 28294 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62    , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 202120, min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26464 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 28171 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 11408 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 40676 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26479 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32181 , min_dist: 6, vp: planetlab4.cs.uoregon.edu.csv 
